document_id,depth_predict
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,1.1738009452819824
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,1.0645065307617188
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,1.053598165512085
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,1.0602347056070964
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,1.1421575546264648
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,1.0534077485402424
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,1.126022736231486
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,1.133346716562907
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,1.0688649813334148
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,1.0511363347371419
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,1.053091287612915
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,1.0502678553263347
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,1.057607650756836
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,1.0687346458435059
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,1.1413945357004802
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,1.0583494504292805
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,1.0516177813212078
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,1.17259414990743
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,1.1391534805297852
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,1.1286004384358723
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,1.137682358423869
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,1.0536832809448242
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,1.184750239054362
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,1.1291091442108154
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,1.135221799214681
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,1.1476300557454426
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,1.1747998396555583
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,1.2604920069376628
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,1.163274844487508
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,1.1449265480041504
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,1.0693532625834148
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,1.0609431266784668
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,1.1484142939249675
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,1.0539379119873047
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,1.0527687072753906
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,1.1386035283406575
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,1.0598464806874592
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,1.0537323156992595
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,1.060831864674886
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,1.1578826109568279
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,1.163129170735677
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,1.0517336527506511
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,1.0485246181488037
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,1.1219663619995117
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,1.1764971415201824
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,1.0585123697916667
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,1.14960511525472
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,1.0548389752705891
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,1.0536432266235352
620af8d89a7947404fb52b9fROpN7eLZTxyReljAlE66RQ,1.1680761973063152
61fa6aea9a7947f0a9aaf4f0laPyaRVTTXem7ijDgA1yOQ,1.1382160981496174
6209a89f9a794740a12850c5H4RHG7dZTL2wSdv3XyyzNA,1.1617737611134846
620a46219a794781dc291a08AZGwVNwbQ8yIgsPKpyEhiA,1.1596002578735352
6260feeb9a79476a79ce041es4TzJh4_TzW8ppT-OTxjkg,1.0587670008341472
620ce7ab9a794702595dc862-5Cx53EvQDWntflGw9_jEQ,1.1691702206929524
6265bbef9a794740ac14627dFCuGAeo3RMqC5ZXD_WsDtg,1.0488966306050618
627ff0d39a7947729e9dfa90RPAwzb0eSzC-Dcq2ZocUfA,1.0552162329355876
625db0299a7947d767282409xdaiS-EsSdOcJ5H8rgpO5g,1.055785338083903
6282433e9a79470b9c70a35cGBn3ze4UTsyvC35EfQs6VA,1.0623292922973633
61fc8bea9a79472d0879337bsOYQIXzMQtGy1XCKl6xsHw,1.1524046262105305
62033fe69a7947be30a670aaeFUrrXexSh-xrR_1oGc6-w,1.1484585603078206
6203b0069a7947f3eede1eb2qy1XDNoUQ3GBeAionL5UTQ,1.138933499654134
624c3fd09a79476502f307e2exWaNqt-QmKcchXKQ-8KNw,1.1564531326293945
